Hospitals
7.376831,124.558155	ALAMADA PROVINCIAL COMMUNITY HOSPITAL
7.138261,124.524423	DR. ROLAND P. DELA CRUZ MEMORIAL HOSPITAL
6.799328,124.621396	EVANGELISTA MEDICAL CLINIC AND HOSPITAL
6.829827,124.874328	FR TULIO FAVALI MUNICIPAL HOSPITAL
6.623675,124.602374	GALINATO FAMILY CLINIC AND HOSPITAL
6.125732,125.185588	GENERAL SANTOS CITY HOSPITAL
6.120279,125.178477	GENERAL SANTOS DOCTORS HOSPITAL, INC.
5.820864,125.210085	GLAN MEDICARE COMMUNITY HOSPITAL
6.217996,125.068459	HERAMIL HOSPITAL
6.629568,124.598401	HOLY NAZARENE CLINIC AND HOSPITAL
6.246046,125.094581	HOWARD HUBBARD MEMORIAL HOSPITAL
6.637297,124.598954	ISULAN DOCTORS SPECIALIST CENTER INC
6.685738,124.676757	JACALAN HOSPITAL
6.388148,124.794817	JANUARIA MARCIAL MEMORIAL HOSPITAL
7.110198,124.828784	KABACAN MEDICAL SPECIALIST HOSPITAL, INC.
7.113179,124.828269	KABACAN POLYMEDIC COOPERATIVE HOSPITAL
6.567005,124.052864	KALAMANSIG MUNICIPAL HOSPITAL
5.988425,124.622441	KIAMBA DISTRICT HOSPITAL
7.016692,125.090976	KIDAPAWAN CITY HOSPITAL
7.010814,125.09104	KIDAPAWAN DOCTORS HOSPITAL INC.
7.017949,125.092006	KIDAPAWAN MEDICAL SPECIALIST CENTER, INC.
6.080341,125.151855	LABELLA HOSPITAL
6.228481,124.718762	LAKE SEBU MUNICIPAL HOSPITAL
6.799157,124.621053	LAMBAYONG DISTRICT HOSPITAL
6.367351,124.743549	LANDERO CLINIC AND HOSPITAL
6.371938,124.748568	LARIOSA CLINIC AND HOSPITAL
6.629387,124.066678	LEBAK DOCTOR'S HOSPITAL
6.6340776,124.0662923	LEBAK FAMILY DOCTORS HOSPITAL
6.67878,124.682572	LU CLINIC AND HOSPITAL
5.862886,124.997404	MAASIM MUNICIPAL HOSPITAL
7.022613,125.087821	MADONNA GENERAL HOSPITAL, INC.
6.062187,124.494562	MAITUM MUNICIPAL HOSPITAL
6.949091,125.099602	MAKILALA MEDICAL SPECIALIST HOSPITAL, INC.
6.376395,125.27324	MALUNGON MUNICIPAL HOSPITAL
7.030535,125.091448	MANUEL HOSPITAL
6.630967,124.597369	MATIAS CLINIC AND HOSPITAL
6.693970,124.676109	MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES COOPERATIVE OF TACURONG
6.633509,124.064325	MEDICARE COMMUNITY HOSPITAL OF LEBAK
7.142647,124.520164	MIDSAYAP COMMUNITY DOCTORS HOSPITAL
7.143812,124.519247	MIDSAYAP DIAGNOSTIC CENTER AND HOSPITAL
7.009977,125.091376	MIDWAY HOSPITAL
6.128362,125.159951	MINDANAO MEDICAL CENTER
6.947802,124.8788	M'LANG DISTRICT HOSPITAL
6.946311,124.881989	M'LANG DOCTORS HOSPITAL, INC.
7.242935,124.520054	MOUNT OF BLESSINGS HOSPITAL
7.057317,124.7934466	NAQUITQUITAN MEDICAL CLINIC AND HOSPITAL
6.55023,124.668002	NORALA DISTRICT HOSPITAL
7.197970,124.237492	NOTRE DAME HOSPITAL AND SCHOOL OF MIDWIFERY INCORPORATED
6.718408,124.516028	OUR LADY OF HOPE MEDICAL CLINIC AND HOSPITAL
6.220617,125.063263	POLOMOLOK MUNICIPAL HOSPITAL
7.15714,125.051148	PRES. ROXAS PROVINCIAL COMMUNITY HOSPITAL
6.70331,124.673281	QUIJANO CLINIC AND HOSPITAL INCORPORATED
6.114345,125.16715	RO DIAGAN COOPERATIVE HOSPITAL
6.332653,124.950385	ROEL I. SENADOR MEMORIAL HOSPITAL
6.946399,124.885438	ROLDAN MEDICAL CLINIC
6.699985,124.734676	ROMUALDEZ-KATIKU COMMUNITY HOSPITAL
7.189128,124.533489	SACRED HEART MED. SPECIALIST HOSPITAL
6.68008,124.657531	SANDIG MEDICAL CLINIC AND HOSPITAL
6.350744,124.348369	SENATOR NINOY AQUINO MUNICIPAL HOSPITAL
6.494791,124.848289	SOCOMEDICS MEDICAL CENTER
6.11831,125.189812	SOCSARGEN COUNTY HOSPITAL
6.830387,124.877477	SORILLA MEDICAL & MATERNITY CLINIC AND HOSPITAL
6.492712,124.838998	SOUTH COTABATO PROVINCIAL HOSPITAL
6.943499,124.885497	SOUTH M'LANG MEDICAL CLINIC AND HOSPITAL
6.118444,125.179733	ST. ELIZABETH HOSPITAL, INC.
6.413971,124.69667	ST. JUDE CLINIC AND HOSPITAL
6.686634,124.669759	ST. LOUIS HOSPITAL 
6.665119,124.692249	SULTAN KUDARAT DOCTORS HOSPITAL INC
6.657105,124.700832	SULTAN KUDARAT MEDICAL SPECIALIST CENTER, INC.
6.634204,124.596747	SULTAN KUDARAT PROVINCIAL HOSPITAL
6.37208,124.743925	SURALLAH COMMUNITY HOSPITAL
7.1521851,124.5063293	TARONGOY MEDICAL CLINIC
6.034269,124.929263	T'BOLI EVANGELICAL CLINIC AND HOSPITAL Inc.
6.5053332,124.8370215	THE DOCTORS CLINIC AND HOSPITAL, INC.
5.988770,124.633576	TIBURCIO B. AQUINO MEMORIAL HOSPITAL
6.672962,124.684353	TOMBOC-SALAYOG HOSPITAL
7.025339,125.082006	UNITED DOCTORS HOSPITAL OF KIDAPAWAN, INC.
7.106919,124.828012	UNIVERSITY OF SOUTHERN MINDANAO (USM) HOSPITAL
6.651308,124.705639	VALDEZ MOTHER AND CHILD CLINIC & HOSPITAL
7.683333,124.6833	WAO DISTRICT HOSPITAL
6.415613,124.702377	ZMK DOCTORS CLINIC & HOSPITAL

Rural Health Unit
6.10758,125.29323	ALABEL RURAL HEALTH UNIT
7.38551,124.55	ALAMADA MUNICIPAL HEALTH OFFIC
7.15817,124.5863	ALEOSAN MUNICIPAL HEALTH OFFICE
7.351600,125.127547	ARAKAN RURAL HEALTH UNIT
6.53329,124.56333	BAGUMBAYAN RURAL HEALTH UNIT
6.42389,124.77546	BANGA RURAL HEALTH UNIT
7.504005,124.691994	BANISILAN MUNICIPAL HEALTH OFFICE
6.103964,125.192959	BULA RURAL HEALTH UNIT
6.07272,125.14021	CALUMPANG RURAL HEALTH UNIT
7.20401,124.79480	CARMEN RURAL HEALTH UNIT
6.68475,124.96193	COLUMBIO RURAL HEALTH UNIT
6.71968,124.51811	ESPERANZA RURAL HEALTH UNIT
5.82185,125.20619	GLAN RURAL HEALTH UNIT
6.62533,124.59759	ISULAN RURAL HEALTH UNIT
7.200007,124.820999	KABACAN RURAL HEALTH UNIT
6.555767,124.050434	KALAMANSIG RURAL HEALTH UNIT
5.99312,124.61628	KIAMBA RURAL HEALTH UNIT
6.128012,125.190769	LAGAO MAIN HEALTH CENTER
6.228518,124.719211	LAKE SEBU RURAL HEALTH UNIT
6.79938,124.63445	LAMBAYONG RURAL HEALTH UNIT
6.635016,124.064980	LEBAK RURAL HEALTH UNIT
7.23992,124.51888	LIBUNGAN MUNICIPAL HEALTH OFFICE
6.58526,124.89274	LUTAYAN RURAL HEALTH UNIT
5.86573,124.99054	MAASIM RURAL HEALTH UNIT
7.102919,125.124345	MAGPET RURAL HEALTH UNIT
6.06323,124.49605	MAITUM RURAL HEALTH UNIT
6.959043,125.086945	MAKILALA RURAL HEALTH UNIT
5.97039,125.2894	MALAPATAN RURAL HEALTH UNIT
6.37244,125.27453	MALUNGON RURAL HEALTH UNIT
7.084033,124.902016	MATALAM RURAL HEALTH UNIT
7.19199,124.53403	MIDSAYAP RURAL HEALTH UNIT
6.947792,124.879688	M'LANG RURAL HEALTH UNIT
6.52159,124.66253	NORALA RURAL HEALTH UNIT
6.212025,124.204991	PALIMBANG RURAL HEALTH UNIT
7.27727,124.42353	PIGKAWAYAN RURAL HEALTH UNIT
7.05748,124.67709	PIKIT RURAL HEALTH UNIT
6.21985,125.06083	POLOMOLOK MUNICIPAL HEALTH OFFICE
6.79938,124.63445	PRESIDENT QUIRINO RURAL HEALTH UNIT
6.42886,124.67976	SANTO NIÑO RURAL HEALTH UNIT
6.461614,124.318971	SEN. NINOY AQUINO RURAL HEALTH UNIT
6.37578,124.74625	SURALLAH MUNICIPAL HEALTH OFFICE
6.44443,124.92657	TAMPAKAN RURAL HEALTH UNIT
6.61934,124.74879	TANTANGAN RURAL HEALTH UNIT
6.21496,124.82502	T'BOLI RURAL HEALTH UNIT
6.831003,124.872988	TULUNAN RURAL HEALTH UNIT
6.33135,124.95163	TUPI MUNICIPAL HEALTH OFFICE

City Health Office
6.1253528,125.1849061	GENERAL SANTOS CITY HEALTH OFFICE
7.008982,125.087013	KIDAPAWAN CITY HEALTH OFFICE
6.50031,124.84453	KORONADAL CITY HEALTH OFFICE
7.21071,124.24118	COTABATO CITY HEALTH OFFICE
6.693758,124.674645	TACURONG CITY HEALTH OFFICE

Barangay Health Station
7.23477,124.53799	ABAGA BARANGAY HEALTH STATION-LIBUNGAN
6.10397,125.15987	ACHARON BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.34343,125.15987	ACMONAN BARANGAY HEALTH STATION-TUPI
6.22551,124.98442	AFLEK BARANGAY HEALTH CENTER-T'BOLI
6.17383,124.84307	AFUS BARANGAY HEALTH STATION-T'BOLI
6.67988,124.56664	ALA BARANGAY HEALTH STATION-ESPERANZA
6.41945,125.03623	ALBAGAN BARANGAY HEALTH STATION-TAMPAKAN
6.15347,125.288	ALEGRIA BARANGAY HEALTH STATION-ALABEL (Capital)
7.055216,124.983566	AMAS BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
7.021663,125.007222	AMAZION BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.41096,124.69505	AMBALGAN BARANGAY HEALTH STATION-SANTO NINO
5.93694,124.99758	AMSIPIT BARANGAY HEALTH STATION-MAASIM
6.56304,124.8198	ANTONG BARANGAY HEALTH STATION-LUTAYAN
6.13112,125.13027	APOPONG BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.44477,124.8397	ASSUMPTION (BULOL) BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.54133,124.86967	AVANCEÑA BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.23072,124.69061	BACDULONG BARANGAY HEALTH STATION-LAKE SEBU
6.00432,124.61116	BADTASAN BARANGAY HEALTH STATION-KIAMBA
6.11048,125.31708	BAGACAY BARANGAY HEALTH STATION-ALABEL (Capital)
6.875226,124.89637	BAGONTAPAY BARANGAY HEALTH STATION-M'LANG
7.22883,124.23876	BAGUA I BARANGAY HEALTH STATION-COTABATO
7.22066,124.23666	BAGUA II BARANGAY HEALTH STATION-COTABATO
7.22130,124.24280	BAGUA III BARANGAY HEALTH STATION-COTABATO
7.22475,124.23923	BAGUA MOTHER BARANGAY HEALTH STATION-COTABATO
7.27922,124.46876	BAGUER BARANGAY HEALTH STATION-LIBUNGAN
6.78016,124.70181	BAGUMBAYAN BARANGAY HEALTH STATION-PRESIDENT QUIRINO
6.43806,124.62785	BAI SARIFINANG BARANGAY HEALTH STATION-BAGUMBAYAN
7.030555,125.187220	BALABAG BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
5.88065,124.99238	BALES BARANGAY HEALTH STATION-MAASIM
7.029444,125.060274	BALINDOG BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.12724,125.20177	BALITE,PAG-ASA BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
5.7464,125.24163	BALITON BARANGAY HEALTH STATION-GLAN
6.12523,125.21710	BALUAN BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.13475,125.25058	BALUNTAY BARANGAY HEALTH STATION-ALABEL (Capital)
6.57358,124.62222	BAMBAD BARANGAY HEALTH STATION-ISULAN (Capital)
6.47419,125.32045	BANATE BARANGAY HEALTH STATION-MALUNGON
7.248152,125.023768	BANGBANG BARANGAY HEALTH STATION-MATALAM
6.6702,124.75989	BANNAWAG BARANGAY HEALTH STATION-PRESIDENT QUIRINO
7.38597,124.6449	BAO BARANGAY HEALTH STATION-ALAMADA
6.61656,124.65636	BARANGAY BARAS HEALTH CENTER-CITY OF TACURONG
6.66724,124.67017	BARANGAY CALEAN HEALTH CENTER-CITY OF TACURONG
6.72973,124.68392	BARANGAY D'LEDESMA HEALTH CENTER-CITY OF TACURONG
6.6626,124.49273	BARANGAY KALANDAGAN HEALTH CENTER-CITY OF TACURONG
6.6253,124.6705	BARANGAY LANCHETA HEALTH CENTER-CITY OF TACURONG
6.67697,124.67402	BARANGAY NEW ISABELA HEALTH CENTER-CITY OF TACURONG
6.59726,124.66476	BARANGAY RAJAH MUDA HEALTH CENTER-CITY OF TACURONG
6.7417,124.66333	BARANGAY SAN ANTONIO HEALTH CENTER-CITY OF TACURONG
6.69715,124.70082	BARANGAY SAN EMMANUEL HEALTH CENTER-CITY OF TACURONG
6.68876,124.68534	BARANGAY SAN PABLO HEALTH CENTER-CITY OF TACURONG
6.74389,124.68065	BARANGAY SAN RAFAEL HEALTH CENTER-CITY OF TACURONG
6.70562,124.69543	BARANGAY TINA HEALTH CENTER-CITY OF TACURONG
6.65021,124.66041	BARANGAY UPPER KATUNGAL HEALTH CENTER-CITY OF TACURONG
7.42595,124.55164	BARANGIRAN BARANGAY HEALTH STATION-ALAMADA
,7.26164,124.56395	BARONGIS BARANGAY HEALTH STATION-LIBUNGAN
6.1461,124.97894	BASAG BARANGAY HEALTH STATION-T'BOLI
6.947446,125.161394	BATASAN BARANGAY HEALTH STATION-MAKILALA
7.25485,124.501	BATIOCAN BARANGAY HEALTH STATION-LIBUNGAN
6.23875,125.26065	BATOMELONG BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
5.57083,125.33578	BATULAKI BARANGAY HEALTH STATION-GLAN
7.06994,124.67182	BATULAWAN HEALTH CENTER-PIKIT
6.7089,124.77138	BAYAWA BARANGAY HEALTH STATION-PRESIDENT QUIRINO
6.5276,124.68735	BENIGNO AQUINO, JR. BARANGAY HEALTH STATION-NORALA
6.41497,124.77553	BENITEZ (POB.) BARANGAY HEALTH STATION-BANGA
7.090826,125.008887	BENOLIGAN BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.23511,125.01056	BENTUNG BARANGAY HEALTH STATION-POLOMOLOK
7.040279,125.127497	BERADA BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.955692,124.895675	BIALONG BARANGAY HEALTH STATION-M'LANG
6.935037,125.169086	BIANGAN BARANGAY HEALTH STATION-MAKILALA
5.64766,125.31607	BIG MARGUS BARANGAY HEALTH STATION-GLAN
6.7356,124.64912	BILUMEN BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.60152,124.57096	BIWANG BARANGAY HEALTH STATION-BAGUMBAYAN
6.56874,124.87873	BLINGKONG BARANGAY HEALTH STATION-LUTAYAN
6.39214,124.91982	BOLOLMALA BARANGAY HEALTH STATION-TUPI
6.6075,124.54388	BUAL BARANGAY HEALTH STATION-ISULAN (Capital)
6.897777,124.896328	BUAYAN BARANGAY HEALTH STATION-M'LANG
6.11005,125.22990	BUAYAN BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.968503,125.153318	BUENA VIDA BARANGAY HEALTH STATION-MAKILALA
6.69935,124.65631	BUENAFLOR BARANGAY HEALTH STATION-CITY OF TACURONG
6.30973,124.75317	BUENAVISTA BARANGAY HEALTH STATION-SURALLAH
6.985612,125.164575	BUHAY BARANGAY HEALTH STATION-MAKILALA
6.56184,124.76697	BUKAY PAIT BARANGAY HEALTH STATION-TANTANGAN
6.9306,125.050154	BULAKANON BARANGAY HEALTH STATION-MAKILALA
7.29851,124.41548	BULUAN BARANGAY HEALTH STATION-PIGKAWAYAN
6.32508,124.94281	BUNAO BARANGAY HEALTH STATION-TUPI
5.71602,125.25581	BURIAS BARANGAY HEALTH STATION-GLAN
6.48833,124.59786	BUSOK BARANGAY HEALTH STATION-BAGUMBAYAN
6.47107,124.96385	BUTO BARANGAY HEALTH STATION-TAMPAKAN
6.67162,124.74223	C. MANGILALA BARANGAY HEALTH STATION-PRESIDENT QUIRINO
7.26139,124.53962	CABARUYAN BARANGAY HEALTH STATION-LIBUNGAN
5.77648,125.21922	CABLALAN BARANGAY HEALTH STATION-GLAN
7.26112,124.51141	CABPANGI BARANGAY HEALTH STATION-LIBUNGAN
6.43657,124.73301	CABUDIAN BARANGAY HEALTH STATION-BANGA
6.38925,124.80142	CABULING BARANGAY HEALTH STATION-BANGA
6.55631,124.80741	CABULING BARANGAY HEALTH STATION-TANTANGAN
6.50863,124.94933	CACUB BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
5.80321,125.22243	CALABANIT BARANGAY HEALTH STATION-GLAN
6.52846,124.87348	CALOOCAN BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.957847,124.966506	CALUNASAN BARANGAY HEALTH STATION-M'LANG
7.3434,124.55954	CAMANSI BARANGAY HEALTH STATION-ALAMADA
6.28245,124.73999	CANAHAY (GODWINO) BARANGAY HEALTH STATION-SURALLAH
6.24124,125.09163	CANNERY BARANGAY HEALTH STATION I-POLOMOLOK
6.23754,125.0948	CANNERY BARANGAY HEALTH STATION II-POLOMOLOK
7.27691,124.45208	CAPAYURAN BARANGAY HEALTH STATION-PIGKAWAYAN
6.85765,124.63567	CARIDAD BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.45363,124.87998	CARPENTER HILL BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.38222,124.96218	CEBUANO BARANGAY HEALTH STATION-TUPI
7.071521,124.899804	CENTRAL MALAMOTE BARANGAY HEALTH STATION-MATALAM
6.35661,124.75479	CENTRALA BARANGAY HEALTH STATION-SURALLAH
6.51565,124.50113	CHUA BARANGAY HEALTH STATION-BAGUMBAYAN
6.38555,124.77581	CINCO BARANGAY HEALTH STATION-BANGA
6.13009,125.16917	CITY HEIGHTS BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
5.85933,125.01843	COLON BARANGAY HEALTH STATION-MAASIM
6.34032,124.72224	COLONGULO BARANGAY HEALTH STATION-SURALLAH
6.48071,124.88453	CONCEPCION BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.968319,125.056461	CONCEPCION BARANGAY HEALTH STATION-MAKILALA
6.20163,125.18024	CONEL BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
5.638,125.33813	CROSS BARANGAY HEALTH STATION-GLAN
6.2685,125.01132	CROSSING PALKAN BARANGAY HEALTH STATION-POLOMOLOK
6.36412,124.92002	CROSSING RUBBER BARANGAY HEALTH STATION-TUPI
6.0473,125.37798	DAAN SUYAN BARANGAY HEALTH STATION-MALAPATAN
6.11606,125.17604	DADIANGAS EAST (POB.) BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.11631,125.16282	DADIANGAS NORTH BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.10709,125.17690	DADIANGAS SOUTH HEALTH CENTER-GENERAL SANTOS CITY (DADIANGAS)
6.11112,125.17091	DADIANGAS WEST BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.922992,124.876036	DAGONG BARANGAY HEALTH STATION-M'LANG
6.918471,125.030303	DAGUPAN BARANGAY HEALTH STATION-MAKILALA
6.38316,124.72112	DAJAY BARANGAY HEALTH STATION-SURALLAH
6.74035,124.58102	DALADAP BARANGAY HEALTH STATION-ESPERANZA
7.046672,124.897241	DALAPITAN BARANGAY HEALTH STATION-MATALAM
5.8745,124.92852	DALIAO BARANGAY HEALTH STATION-MAASIM
7.009802,124.892969	DALIPE BARANGAY HEALTH STATION-M'LANG
6.49195,125.01194	DANLAG BARANGAY HEALTH STATION-TAMPAKAN
6.64943,124.59398	DANSULI BARANGAY HEALTH STATION I-ISULAN (Capital)
6.63856,124.58514	DANSULI BARANGAY HEALTH STATION II-ISULAN (Capital)
6.58362,124.99772	DATABLAO BARANGAY HEALTH STATION-COLUMBIO
6.26213,124.94433	DATAL BOB BARANGAY HEALTH STATION-T'BOLI
6.0964,124.83228	DATAL DLANAG BARANGAY HEALTH STATION-T'BOLI
5.96134,124.71151	DATU DANI BARANGAY HEALTH STATION-KIAMBA
7.27751,124.50322	DEMAPACO BARANGAY HEALTH STATION-LIBUNGAN
6.31312,124.84816	DERILON BARANGAY HEALTH STATION-BANGA
6.19211,>124.83728	DESAWO BARANGAY HEALTH STATION-T'BOLI
6.77324,124.64279	DIDTARAS BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.66291,124.55666	D'LOTILLA BARANGAY HEALTH STATION-ISULAN (Capital)
6.11231,125.14160	DOÑA SOLEDAD HEALTH CENTER-GENERAL SANTOS CITY (DADIANGAS)
6.2016,125.26601	DOMOLOK BARANGAY HEALTH STATION-ALABEL (Capital)
6.3741,124.69889	DUENGAS BARANGAY HEALTH STATION-SURALLAH
6.58406,124.75511	DUMADALIG BARANGAY HEALTH STATION-TANTANGAN
6.55745,124.68445	DUMAGUIL BARANGAY HEALTH STATION-NORALA
6.946795,124.858935	DUNGO-AN BARANGAY HEALTH STATION-M'LANG
5.78227,125.40579	E. ALEGADO BARANGAY HEALTH STATION-GLAN
6.67889,124.65546	E. JC MONTILLA BARANGAY HEALTH STATION-CITY OF TACURONG
6.68357,124.92371	EDAY BARANGAY HEALTH STATION-COLUMBIO
6.23766,124.81544	EDWARDS (POB.) BARANGAY HEALTH STATION-T'BOLI
6.42668,124.80347	EL NONOK BARANGAY HEALTH STATION-BANGA
6.51308,124.91682	ESPERANZA BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.49874,124.66827	ESPERANZA BARANGAY HEALTH STATION-NORALA
7.110114,124.972214	ESTADO BARANGAY HEALTH STATION-MATALAM
6.65114,124.76495	ESTRELLA BARANGAY HEALTH STATION-PRESIDENT QUIRINO
6.07404,125.11465	FATIMA BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.968801,125.134274	GARSIKA BARANGAY HEALTH STATION-MAKILALA
5.96584,124.74386	GASI BARANGAY HEALTH STATION-KIAMBA
6.8785,124.834511	GAUNAN BARANGAY HEALTH STATION-M'LANG
6.50137,124.86155	GENERAL PAULINO SANTOS CINDERELLA BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.50121,124.84723	GENERAL PAULINO SANTOS NORTH BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.50584,124.84831	GENERAL PAULINO SANTOS SOUTH BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
7.046376,125.175555	GINATILAN BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.16266,125.07902	GLAMANG BARANGAY HEALTH STATION-POLOMOLOK
5.84363,125.21864	GLAN PADIDU BARANGAY HEALTH STATION-GLAN
7.29806,124.55914	GREBONA BARANGAY HEALTH STATION-LIBUNGAN
6.888018,125.031866	GUANGAN BARANGAY HEALTH STATION-MAKILALA
6.76677,124.5332	GUIAMALIA BARANGAY HEALTH STATION-ESPERANZA
,6.47973,124.66423	GUINSANG-AN BARANGAY HEALTH STATION-SANTO NINO
7.24275,124.50302	GUMAGA BARANGAY HEALTH STATION-LIBUNGAN
5.78698,125.19978	GUMASA BARANGAY HEALTH STATION-GLAN
6.22078,124.79156	HALILAN BARANGAY HEALTH STATION-LAKE SEBU
6.1832,124.76083	HANOON BARANGAY HEALTH STATION-LAKE SEBU
6.11783,125.19240	HICBAN BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
5.81643,125.22506	ILAYA BARANGAY HEALTH STATION-GLAN
6.68353,124.49499	ILIAN BARANGAY HEALTH STATION-ESPERANZA
6.66442,124.57876	IMPAO BARANGAY HEALTH STATION-ISULAN (Capital)
6.42544,124.77967	IMPROGO VILLAGE (POB.) BARANGAY HEALTH STATION-BANGA
6.961545,124.880604	INAS BARANGAY HEALTH STATION-M'LANG
7.006388,125.140552	INDANGAN BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.996125,125.145768	INDANGAN BARANGAY HEALTH STATION-MAKILALA
6.49809,125.35304	J.P. LAUREL BARANGAY HEALTH STATION-MALUNGON
6.973882,125.023872	JOSE RIZAL BARANGAY HEALTH STATION-MAKILALA
6.990279,125.002499	JUNCTION BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
5.86922,124.97619	KABATIOL BARANGAY HEALTH STATION-MAASIM
6.31586,125.01471	KABLON BARANGAY HEALTH STATION-TUPI
7.162698,124.927778	KABULACAN BARANGAY HEALTH STATION-MATALAM
6.76241,124.59622	KABULAKAN BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.76187,124.69522	KALANAWE I BARANGAY HEALTH STATION-PRESIDENT QUIRINO
6.74621,124.69391	KALANAWE II BARANGAY HEALTH STATION-PRESIDENT QUIRINO
6.08582,124.48412	KALANEG BARANGAY HEALTH STATION-MAITUM
7.23978,124.23695	KALANGANAN I BARANGAY HEALTH STATION-COTABATO
7.19399,124.19576	KALANGANAN II BARANGAY HEALTH STATION-COTABATO
7.23814,124.22551	KALANGANAN MOTHER BARANGAY HEALTH STATION-COTABATO
6.08672,124.45311	KALAONG BARANGAY HEALTH STATION-MAITUM
